StudentID,FirstName,LastName,Gender,DateOfBirth,Major,GPA
1001,Laura,Proctor,Female,1997-12-08,Physics,2.0
1002,Michael,Wright,Female,2004-12-25,Computer Science,2.8
1003,Martha,Jones,Male,2000-07-06,Computer Science,2.18
1004,Laurie,Cross,Male,1993-10-08,Physics,3.76
1005,Elizabeth,Bird,Male,1998-06-30,Biology,3.51
1006,Sherry,Phillips,Female,2001-03-06,Computer Science,2.0
1007,Charles,Green,Male,1993-09-26,Physics,2.79
1008,Jessica,Stafford,Female,1996-12-15,Physics,3.07
1009,Jennifer,Davis,Female,1998-03-10,Mathematics,2.63
1010,Keith,Reyes,Male,1993-06-02,Computer Science,3.35
1011,Monica,Ray,Male,1996-09-14,Computer Science,2.92
1012,Ann,Ritter,Female,2001-05-22,Mathematics,3.55
1013,Charles,Hunt,Female,1994-08-28,Biology,2.9
1014,Douglas,Turner,Male,1992-08-13,Mathematics,2.68
1015,Derek,Johnson,Male,2002-09-04,Biology,2.93
1016,Alexander,Mcdonald,Male,2000-12-24,Computer Science,2.37
1017,Rachel,Shaw,Male,2000-03-06,Computer Science,2.99
1018,Timothy,Bell,Male,2004-01-29,Mathematics,2.61
1019,Dalton,Vincent,Male,1999-11-02,Physics,3.35
1020,Sharon,Schmidt,Male,1992-04-09,Biology,2.47
1021,David,Porter,Female,2003-08-05,Biology,3.05
1022,Jessica,Carter,Male,1998-06-21,Physics,3.14
1023,Lauren,Carrillo,Female,1997-07-09,Mathematics,2.0
1024,Sandra,Wells,Female,2003-04-10,Biology,3.57
1025,Nicholas,Morgan,Male,1991-01-31,Computer Science,2.92
1026,Susan,Nguyen,Male,1996-01-22,Computer Science,3.23
1027,John,Evans,Male,1995-11-18,Mathematics,3.31
1028,Denise,Stewart,Male,2002-03-24,Physics,3.91
1029,Lisa,Garcia,Male,1995-07-24,Computer Science,3.23
1030,Wesley,Reynolds,Male,1990-07-16,Computer Science,2.24
1031,David,Roberts,Male,1993-06-19,Physics,3.93
1032,Karen,Gates,Male,2001-01-18,Computer Science,3.04
1033,Paul,Jones,Female,1992-03-07,Computer Science,3.5
1034,Christine,Scott,Male,1991-12-02,Biology,2.41
1035,Nicholas,Moon,Female,2003-02-19,Biology,3.09
1036,James,Combs,Female,2003-03-08,Biology,3.19
1037,Valerie,Murphy,Female,2003-02-22,Computer Science,2.73
1038,Marie,Mccoy,Male,1991-10-29,Physics,2.92
1039,Nicholas,Juarez,Female,2002-01-07,Physics,3.69
1040,Timothy,Myers,Female,1992-01-01,Mathematics,2.7
1041,Jennifer,Hernandez,Female,1999-03-14,Biology,3.12
1042,Christopher,Ramos,Male,2004-06-07,Computer Science,2.96
1043,Brian,Carr,Male,2001-07-02,Mathematics,3.19
1044,Jeffrey,Osborne,Male,1991-07-18,Computer Science,3.25
1045,Heather,Coleman,Female,1995-09-01,Computer Science,3.1
1046,Sarah,Smith,Female,1994-01-18,Computer Science,2.85
1047,Laura,Phillips,Male,1998-04-24,Computer Science,2.32
1048,Sandra,Williams,Male,1993-11-20,Physics,2.82
1049,Alan,Palmer,Female,2004-12-27,Physics,3.18
1050,Stacy,Howard,Male,2004-08-10,Physics,3.09
1051,Cindy,Tucker,Female,1991-02-19,Physics,3.5
1052,Phillip,Lloyd,Male,2004-06-29,Mathematics,3.03
1053,Robert,Burke,Male,1991-08-22,Biology,3.11
1054,Joseph,Alvarez,Female,1990-12-12,Physics,2.68
1055,Robert,Ellis,Female,1999-04-24,Mathematics,3.28
1056,Meghan,Johnson,Male,1999-11-08,Physics,3.34
1057,Christina,Daniel,Male,2003-07-08,Biology,3.13
1058,Tanya,Walls,Male,1992-09-22,Computer Science,2.86
1059,Kara,Martin,Female,1990-07-28,Biology,3.56
1060,Lisa,Mayer,Female,1997-02-09,Mathematics,3.64
1061,Joshua,Anderson,Female,1990-04-05,Biology,3.6
1062,Amanda,Dean,Male,2003-10-31,Biology,2.51
1063,Tiffany,Richards,Male,1990-05-31,Mathematics,3.3
1064,Jeremy,Evans,Female,2002-02-22,Biology,2.85
1065,Amanda,Caldwell,Male,1993-06-08,Mathematics,3.5
1066,Jeremy,Walker,Male,2000-11-24,Mathematics,3.46
1067,Tiffany,Schwartz,Female,2005-07-05,Mathematics,3.73
1068,Raymond,Wright,Female,1999-11-03,Mathematics,3.12
1069,Sara,Ayers,Male,1992-07-17,Physics,3.01
1070,Stephen,Nelson,Male,1996-01-13,Mathematics,3.48
1071,Jeffrey,Wilson,Male,2000-10-11,Biology,2.74
1072,Andrea,Ward,Male,2000-08-11,Biology,3.62
1073,Sarah,Mahoney,Male,2004-10-03,Biology,2.57
1074,Mark,Perez,Male,1996-06-25,Physics,3.1
1075,Holly,Allen,Male,2000-10-29,Computer Science,2.66
1076,Sarah,Perkins,Male,1990-12-14,Physics,2.95
1077,Daniel,Thomas,Male,1998-10-08,Biology,3.42
1078,Isaiah,Russell,Male,1993-06-29,Biology,2.68
1079,Matthew,Arnold,Female,1992-10-01,Physics,3.15
1080,Aimee,Obrien,Male,1997-05-23,Computer Science,3.65
1081,James,Butler,Male,2002-08-27,Computer Science,3.36
1082,Crystal,Brown,Female,1998-05-30,Computer Science,3.22
1083,Patricia,Hall,Male,1990-08-12,Biology,3.03
1084,Sara,Wagner,Female,1992-09-23,Computer Science,3.05
1085,Rebecca,Davis,Female,1990-03-28,Physics,3.31
1086,Jennifer,Tran,Male,2003-03-28,Biology,2.92
1087,David,Pearson,Male,2001-10-19,Biology,3.26
1088,Kathy,Garcia,Male,2004-06-17,Physics,3.28
1089,Kathryn,Banks,Female,1991-05-27,Biology,2.97
1090,Robert,Garza,Male,2002-01-13,Physics,2.0
1091,Jaime,Torres,Male,1994-01-09,Mathematics,2.0
1092,Dylan,Diaz,Female,1996-01-16,Biology,3.16
1093,Stanley,Gomez,Female,1998-07-12,Mathematics,3.26
1094,Joshua,Yang,Male,1996-10-04,Mathematics,2.79
1095,Daniel,Petersen,Female,2000-03-08,Biology,3.82
1096,Olivia,Mayer,Female,1992-07-08,Mathematics,2.44
1097,John,Trujillo,Male,2005-02-05,Biology,4.0
1098,Tamara,Wolfe,Female,1990-12-23,Mathematics,3.15
1099,Karen,Townsend,Female,1991-11-24,Biology,3.09
1100,Nancy,Turner,Female,1995-06-21,Physics,3.31
1101,Alex,Williams,Female,1995-04-01,Mathematics,2.93
1102,Alexis,Walter,Male,2002-05-18,Physics,2.26
1103,Norman,Li,Female,2000-08-15,Mathematics,2.56
1104,Caroline,Miller,Male,1992-06-13,Mathematics,2.95
1105,Rebecca,Welch,Female,1993-11-01,Mathematics,3.52
1106,Peter,Moreno,Female,1991-06-13,Mathematics,3.5
1107,Meagan,Higgins,Male,1999-03-19,Physics,3.01
1108,Alexandra,Vargas,Female,1994-07-11,Computer Science,3.04
1109,Mitchell,Morris,Female,1995-02-08,Biology,2.21
1110,Nancy,Walters,Female,2000-02-16,Mathematics,2.55
1111,Catherine,Welch,Female,1991-11-06,Biology,3.27
1112,Darren,Flowers,Female,1992-09-04,Computer Science,3.47
1113,William,Fisher,Male,1994-02-02,Computer Science,2.0
1114,Jessica,Cohen,Female,2003-07-12,Biology,3.25
1115,Joseph,Stevens,Female,2001-01-07,Physics,3.49
1116,Ryan,Dunlap,Male,2003-06-16,Biology,3.54
1117,Jessica,Key,Male,1999-06-14,Computer Science,3.47
1118,Timothy,Pearson,Male,1994-09-12,Computer Science,3.18
1119,Stacy,White,Female,1991-01-18,Computer Science,3.93
1120,William,Scott,Male,2004-08-26,Mathematics,2.8
