student_id,full_name,gender,major,overall_average_score,overall_attendance_percentage,course_count,failed_courses,risk_low_score,risk_low_attendance,risk_failed_courses,risk_reasons
4490,Supun Ekanayake,Male,Physics,58.97,53.67,16,0,true,true,false,Low average score; Low attendance
6825,Tharushi Rajapaksha,Female,Biology,60.38,55.59,21,0,false,true,false,Low attendance
9437,Tharindu Ranatunga,Male,Mathematics,60.82,53.42,16,0,false,true,false,Low attendance
4782,Rashmi Madushanka,Female,Biology,60.91,54.81,19,0,false,true,false,Low attendance
5233,Kasun Senanayake,Male,Computer Science,60.95,54.27,24,0,false,true,false,Low attendance
5323,Piumi Peiris,Female,Biology,61.01,53.21,21,0,false,true,false,Low attendance
7796,Madhavi Peiris,Female,Computer Science,61.54,48.73,20,0,false,true,false,Low attendance
8653,Rashmi Ekanayake,Female,Computer Science,61.64,51.35,18,0,false,true,false,Low attendance
8891,Madhavi Ranatunga,Female,Physics,61.68,61.99,18,0,false,true,false,Low attendance
5637,Dinithi Peiris,Female,Physics,61.76,55.44,20,0,false,true,false,Low attendance
3177,Nadeesha Fernando,Female,Computer Science,61.79,52.23,23,0,false,true,false,Low attendance
8946,Shehan Gunawardena,Male,Physics,61.85,57.4,16,0,false,true,false,Low attendance
8086,Lahiru Rajapaksha,Male,Physics,61.87,48.03,21,1,false,true,false,Low attendance
8438,Supun Ekanayake,Male,Computer Science,62.0,51.59,19,0,false,true,false,Low attendance
3854,Kavindi Gunawardena,Female,Physics,62.0,57.7,19,0,false,true,false,Low attendance
4125,Kavindi Gunawardena,Female,Physics,62.1,57.6,23,0,false,true,false,Low attendance
6607,Naveen Ranatunga,Male,Computer Science,62.17,50.28,19,0,false,true,false,Low attendance
10465,Madhavi Silva,Female,Biology,62.18,52.88,18,0,false,true,false,Low attendance
6491,Sashini Fernando,Female,Physics,62.29,52.0,24,0,false,true,false,Low attendance
6826,Shehan Abeysekera,Male,Computer Science,62.3,56.45,20,0,false,true,false,Low attendance
6209,Nethmi Madushanka,Female,Biology,62.4,61.04,22,0,false,true,false,Low attendance
5613,Amal Abeysekera,Male,Biology,62.42,49.93,18,0,false,true,false,Low attendance
5815,Rashmi Senanayake,Female,Computer Science,62.48,54.15,19,0,false,true,false,Low attendance
6554,Ravindu Senanayake,Male,Mathematics,62.49,47.66,22,0,false,true,false,Low attendance
5285,Naveen Herath,Male,Computer Science,62.55,50.39,21,0,false,true,false,Low attendance
5771,Kasun Wijesinghe,Male,Computer Science,62.6,50.72,27,0,false,true,false,Low attendance
8114,Nadeesha Jayasinghe,Female,,62.62,54.95,28,0,false,true,false,Low attendance
3929,Kavindi Wijesinghe,Female,Mathematics,62.64,55.85,18,0,false,true,false,Low attendance
8006,Ishani Silva,Female,Mathematics,62.66,50.25,19,0,false,true,false,Low attendance
3840,Kavindi Ranatunga,Female,Mathematics,62.67,54.02,19,0,false,true,false,Low attendance
4393,Amal Herath,Male,Physics,62.71,57.18,20,0,false,true,false,Low attendance
7966,Ishani Senanayake,Female,Biology,62.86,55.07,22,0,false,true,false,Low attendance
5172,Ishani Herath,Female,Mathematics,62.87,50.16,23,0,false,true,false,Low attendance
8556,Piumi Herath,Female,Mathematics,62.91,53.58,17,0,false,true,false,Low attendance
7963,Tharushi Abeysekera,Female,Computer Science,62.93,55.15,20,0,false,true,false,Low attendance
3166,Dinithi Peiris,Female,Biology,62.94,57.83,24,0,false,true,false,Low attendance
10750,Ishara Peiris,Male,Computer Science,62.96,60.14,21,0,false,true,false,Low attendance
10071,Nimal Rajapaksha,Male,Physics,63.0,51.74,17,0,false,true,false,Low attendance
6183,Hiruni Fernando,Female,Computer Science,63.03,52.84,19,0,false,true,false,Low attendance
