student_id,full_name,gender,major,overall_average_score,overall_attendance_percentage,course_count,failed_courses
4490,Supun Ekanayake,Male,Physics,58.97,53.67,16,0
6825,Tharushi Rajapaksha,Female,Biology,60.38,55.59,21,0
9437,Tharindu Ranatunga,Male,Mathematics,60.82,53.42,16,0
4782,Rashmi Madushanka,Female,Biology,60.91,54.81,19,0
5233,Kasun Senanayake,Male,Computer Science,60.95,54.27,24,0
5323,Piumi Peiris,Female,Biology,61.01,53.21,21,0
7796,Madhavi Peiris,Female,Computer Science,61.54,48.73,20,0
8653,Rashmi Ekanayake,Female,Computer Science,61.64,51.35,18,0
8891,Madhavi Ranatunga,Female,Physics,61.68,61.99,18,0
5637,Dinithi Peiris,Female,Physics,61.76,55.44,20,0
