student_id,full_name,gender,major,overall_average_score,overall_attendance_percentage,course_count,failed_courses
1917,Matthew Gaines,Male,Mathematics,94.93,67.09,22,0
10569,Chamara Abeysekera,Male,Computer Science,94.7,71.72,19,0
7692,Piumi Silva,Female,Biology,94.56,77.82,21,0
5156,Supun Ranatunga,Male,Mathematics,94.53,72.47,16,0
5346,Tharindu Senanayake,Male,Physics,94.4,73.18,21,0
3127,Lahiru Jayasinghe,Male,Physics,94.37,72.37,20,0
6476,Tharindu Wijesinghe,Male,Biology,94.36,75.98,23,0
10284,Kavindi Jayasinghe,Female,Computer Science,94.23,74.66,20,0
5188,Hiruni Senanayake,Female,Biology,94.18,72.7,18,0
5719,Ayesh Madushanka,Male,Mathematics,93.99,74.88,17,0
9201,Kusal Herath,Male,Computer Science,93.88,71.97,19,0
10288,Shehan Herath,Male,Biology,93.86,71.43,17,0
1235,Christine Delgado,Female,Biology,93.85,71.84,21,0
9407,Dilan Herath,Male,Biology,93.83,69.16,20,0
2192,Michael Gonzalez,Female,Computer Science,93.81,78.1,23,0
4103,Supun Peiris,Male,Physics,93.79,74.07,19,0
7606,Tharushi Herath,Female,Computer Science,93.78,67.7,20,0
5066,Ravindu Ekanayake,Male,Computer Science,93.73,72.39,16,0
4645,Ayesh Jayasinghe,Male,Biology,93.68,70.4,20,0
1855,Rhonda Stone,Male,Biology,93.68,69.09,22,0
9115,Piumi Jayasinghe,Female,Computer Science,93.65,75.89,24,0
10950,Ravindu Herath,Male,Biology,93.61,70.92,23,0
3958,Ishara Fernando,Male,Physics,93.6,68.82,22,0
4480,Kavindi Ranatunga,Female,Biology,93.59,71.25,17,0
8647,Shehan Abeysekera,Male,Computer Science,93.58,69.73,22,0
2220,Tonya Green,Female,Physics,93.58,69.27,22,0
1644,Jeffrey Thompson,Female,Biology,93.56,73.41,24,0
6697,Kavindi Senanayake,Female,Mathematics,93.53,69.64,19,0
5331,Ravindu Silva,Male,Physics,93.51,72.33,23,0
5243,Ravindu Silva,Male,Biology,93.5,72.29,24,0
8862,Nethmi Jayasinghe,Female,Physics,93.5,70.79,20,0
2684,William Combs,Male,Physics,93.49,75.53,18,0
5036,Kavindi Madushanka,Female,Biology,93.47,74.53,20,0
7551,Dilan Ekanayake,Male,Biology,93.42,71.61,20,0
5162,Nadeesha Herath,Female,Computer Science,93.42,69.43,19,0
1733,Brandon Hudson,Male,Mathematics,93.39,73.25,20,0
1413,Christina Bolton,Male,Biology,93.38,73.47,18,0
2037,Stephanie Jackson,Female,Mathematics,93.38,72.05,19,0
8527,Lahiru Peiris,Male,Computer Science,93.38,68.58,21,0
2076,Jessica Gibbs,Male,Physics,93.37,69.19,23,0
6858,Ayesh Abeysekera,Male,Mathematics,93.36,72.0,20,0
3730,Tharushi Abeysekera,Female,Computer Science,93.36,68.18,18,0
6322,Sashini Rajapaksha,Female,Biology,93.32,74.12,19,0
10489,Amal Ekanayake,Male,Physics,93.31,71.47,18,0
7059,Ayesh Fernando,Male,Mathematics,93.31,69.18,17,0
4246,Nethmi Rajapaksha,Female,Biology,93.3,74.0,26,0
3085,Naveen Herath,Male,Biology,93.28,76.14,21,0
2631,Jennifer Rodriguez,Male,Mathematics,93.28,71.86,20,0
2643,Megan Wheeler,Female,Biology,93.27,71.5,20,0
6593,Tharindu Senanayake,Male,Computer Science,93.26,70.05,25,0
10058,Dinithi Silva,Female,Computer Science,93.24,76.83,24,0
9804,Dilini Ranatunga,Female,Physics,93.23,72.68,17,0
10098,Amandi Silva,Female,Biology,93.23,72.36,19,0
5540,Dilan Abeysekera,Male,Computer Science,93.21,68.06,20,0
8994,Nethmi Fernando,Female,Computer Science,93.2,67.88,21,0
7236,Sashini Senanayake,Female,Computer Science,93.19,71.9,19,0
1378,Lisa Wallace,Male,Computer Science,93.16,73.99,20,0
8616,Piumi Senanayake,Female,Computer Science,93.15,63.58,21,0
4442,Dilini Abeysekera,Female,Mathematics,93.13,76.83,19,0
4074,Dilini Fernando,Female,Biology,93.13,76.69,22,0
1097,John Trujillo,Male,Biology,93.13,73.35,21,0
1948,Christopher Nguyen,Male,Mathematics,93.13,71.6,21,0
6016,Dilan Gunawardena,Male,Biology,93.13,69.79,20,0
8554,Kasun Jayasinghe,Male,Biology,93.13,67.74,22,0
3554,Kavindi Ekanayake,Female,Physics,93.13,66.72,23,0
5920,Rashmi Ekanayake,Female,Physics,93.13,66.05,19,0
7962,Shehan Peiris,Male,Physics,93.11,74.98,23,0
9996,Dilini Ekanayake,Female,Computer Science,93.11,73.29,19,0
2545,Amy Forbes,Male,Physics,93.11,70.79,19,0
7501,Chamara Abeysekera,Male,Mathematics,93.09,73.13,19,0
8084,Nadeesha Fernando,Female,Computer Science,93.09,71.22,20,0
2541,Meghan Thomas,Female,Mathematics,93.09,65.31,20,0
7302,Dilan Rajapaksha,Male,Physics,93.07,72.04,24,0
1421,Robert Freeman,Male,Mathematics,93.06,76.17,18,0
2006,Jason Barber,Male,Mathematics,93.06,67.99,24,0
4052,Rashmi Herath,Female,Physics,93.03,77.46,21,0
3823,Ravindu Abeysekera,Male,Computer Science,93.01,71.12,26,0
7686,Kasun Dias,Male,Physics,92.99,70.17,20,0
10680,Kusal Senanayake,Male,Mathematics,92.97,71.15,20,0
6042,Supun Ranatunga,Male,Physics,92.96,75.95,19,0
2711,Danielle Reyes,Male,Biology,92.95,73.16,21,0
8297,Sashini Herath,Female,Physics,92.94,74.44,21,0
5734,Tharushi Silva,Female,Physics,92.93,76.44,20,0
9362,Kavindi Madushanka,Female,Biology,92.93,74.44,22,0
1191,Jose Ortiz,Male,Physics,92.93,68.41,20,0
8559,Amal Herath,Male,Physics,92.91,74.94,19,0
10874,Shehan Ranatunga,Male,Computer Science,92.9,71.0,21,0
4738,Amandi Gunawardena,Female,Mathematics,92.87,72.78,20,0
3889,Nadeesha Herath,Female,Mathematics,92.85,68.52,18,0
5078,Sahan Peiris,Male,Mathematics,92.84,72.17,22,0
8350,Lahiru Perera,Male,Computer Science,92.83,62.47,20,0
7698,Amandi Abeysekera,Female,Computer Science,92.82,68.35,22,0
1505,Erica Bailey,Female,Biology,92.79,72.41,20,0
2156,Kelly Chapman,Male,Physics,92.78,78.39,21,0
7214,Madhavi Silva,Female,Mathematics,92.78,71.2,22,0
9837,Lahiru Rajapaksha,Male,Biology,92.78,68.42,22,0
5133,Dilini Fernando,Female,Mathematics,92.76,69.43,25,0
9768,Sahan Fernando,Male,Computer Science,92.76,68.54,22,0
1790,Kimberly Castro,Male,Physics,92.75,72.69,22,0
2252,Donald Sweeney,Female,Biology,92.75,72.08,16,0
4618,Kasun Herath,Male,Mathematics,92.74,67.69,17,0
9553,Tharindu Silva,Male,Mathematics,92.73,74.83,22,0
6198,Ravindu Gunawardena,Male,Physics,92.72,70.87,20,0
8957,Naveen Rajapaksha,Male,Biology,92.7,71.48,23,0
5423,Amandi Madushanka,Female,Mathematics,92.7,70.84,18,0
4548,Amandi Ekanayake,Female,Mathematics,92.69,75.06,20,0
7186,Sachini Fernando,Female,Mathematics,92.69,73.97,21,0
6166,Madhavi Wijesinghe,Female,Biology,92.69,73.61,24,0
9568,Sashini Dias,Female,Physics,92.69,69.9,20,0
2595,Alicia Smith,Male,Physics,92.68,77.51,21,0
10578,Nimal Fernando,Male,Physics,92.68,73.36,23,0
6929,Nadeesha Herath,Female,Computer Science,92.68,72.41,21,0
10202,Amal Ranatunga,Male,Physics,92.67,71.93,21,0
1817,Danielle Campos,Male,Physics,92.66,72.05,22,0
2275,Steven Davis,Female,Computer Science,92.65,69.13,26,0
8206,Nethmi Wijesinghe,Female,Mathematics,92.65,62.75,22,0
3146,Sachini Abeysekera,Female,Biology,92.64,71.94,24,0
3095,Amandi Silva,Female,Computer Science,92.64,69.25,23,0
2596,Laura Parsons,Female,Biology,92.63,74.02,18,0
9626,Tharushi Senanayake,Female,Computer Science,92.63,70.49,20,0
7794,Ravindu Madushanka,Male,Biology,92.62,62.21,19,0
2987,Michaela Martin,Male,Mathematics,92.61,73.64,22,0
5899,Kusal Peiris,Male,Computer Science,92.61,72.14,22,0
9009,Ishani Silva,Female,Biology,92.6,67.41,21,0
10556,Dilini Ranatunga,Female,Computer Science,92.59,73.48,20,0
8755,Nimal Rajapaksha,Male,Mathematics,92.59,68.55,17,0
4162,Ishani Wijesinghe,Female,Physics,92.58,78.08,25,0
1119,Stacy White,Female,Computer Science,92.58,75.58,23,0
10515,Sahan Wijesinghe,Male,Biology,92.58,75.05,20,0
3403,Nadeesha Silva,Female,Computer Science,92.58,70.65,21,0
7098,Ishani Silva,Female,Physics,92.58,67.6,23,0
4981,Amandi Dias,Female,Mathematics,92.57,69.24,19,0
8720,Shehan Ranatunga,Male,Physics,92.57,69.07,22,0
4204,Supun Abeysekera,Male,Biology,92.56,66.13,18,0
5368,Sashini Gunawardena,Female,Computer Science,92.55,72.58,22,0
8854,Chamara Ranatunga,Male,Biology,92.55,68.21,20,0
2848,Seth Myers,Male,Mathematics,92.53,77.29,22,0
9544,Naveen Peiris,Male,Computer Science,92.53,71.43,17,0
10767,Ayesh Ekanayake,Male,Biology,92.52,71.16,20,0
2813,Stephanie Morgan,Female,Computer Science,92.52,69.3,26,0
2825,Brent Rivas,Female,Mathematics,92.51,68.84,15,0
3325,Kavindi Wijesinghe,Female,Computer Science,92.51,66.59,19,0
4832,Hiruni Wijesinghe,Female,Physics,92.5,75.04,20,0
3853,Amal Dias,Male,Biology,92.5,70.86,20,0
1956,Jonathan Wilson,Male,Biology,92.48,73.64,19,0
6811,Sashini Senanayake,Female,Mathematics,92.48,72.96,17,0
1199,Jeremy Lawrence,Female,Mathematics,92.48,68.25,25,0
1807,Todd Rogers,Female,Computer Science,92.48,68.12,23,0
7979,Ravindu Gunawardena,Male,Biology,92.48,66.89,23,0
1597,Marc Perez,Female,Physics,92.46,73.75,22,0
6489,Kavindi Ranatunga,Female,Physics,92.46,72.54,20,0
4477,Ishara Peiris,Male,Computer Science,92.46,70.13,19,0
4236,Tharindu Herath,Male,Computer Science,92.46,68.29,18,0
9428,Kasun Madushanka,Male,Biology,92.45,68.31,23,0
7727,Ishara Perera,Male,Biology,92.45,66.32,22,0
5789,Nethmi Peiris,Female,Biology,92.44,76.93,24,0
1742,Benjamin Jensen,Female,Physics,92.43,71.46,21,0
1175,Timothy Evans,Male,Physics,92.43,69.66,20,0
2666,Richard Bullock,Male,Physics,92.43,67.18,19,0
9597,Kusal Jayasinghe,Male,Biology,92.43,66.38,21,0
5932,Kavindi Ranatunga,Female,Biology,92.42,70.82,20,0
7355,Tharindu Silva,Male,Physics,92.41,73.65,19,0
10239,Shehan Gunawardena,Male,Physics,92.39,70.87,18,0
5347,Amandi Perera,Female,Physics,92.39,69.34,18,0
5002,Dilan Wijesinghe,Male,Physics,92.38,75.7,21,0
7036,Nimal Rajapaksha,Male,Biology,92.38,72.63,19,0
8271,Lahiru Silva,Male,Computer Science,92.38,69.02,21,0
10991,Naveen Herath,Male,Physics,92.37,70.57,19,0
4570,Sahan Dias,Male,Biology,92.36,70.98,17,0
2994,Stephanie Galvan,Female,Computer Science,92.35,72.02,16,0
7398,Shehan Fernando,Male,Biology,92.35,70.89,23,0
7198,Shehan Dias,Male,Computer Science,92.34,72.31,17,0
7472,Hiruni Perera,Female,Mathematics,92.34,68.74,18,0
5742,Kasun Herath,Male,Physics,92.33,72.0,19,0
4129,Chamara Rajapaksha,Male,Physics,92.32,73.02,24,0
5491,Nimal Senanayake,Male,Computer Science,92.32,72.3,23,0
7739,Tharindu Peiris,Male,Mathematics,92.31,73.95,20,0
9727,Dilini Herath,Female,Mathematics,92.3,73.82,19,0
2933,Megan Maxwell,Male,Biology,92.3,71.57,18,0
3217,Nethmi Ranatunga,Female,Computer Science,92.3,71.54,23,0
6542,Ayesh Madushanka,Male,Mathematics,92.29,74.21,17,0
2264,Joan Baker,Male,Physics,92.29,73.41,21,0
2503,James Schwartz,Female,Physics,92.28,70.63,19,0
1814,Shelly Buchanan,Male,Biology,92.28,64.76,22,0
9966,Supun Perera,Male,Physics,92.27,68.0,21,0
10107,Sashini Herath,Female,Computer Science,92.24,77.85,21,0
5753,Sahan Madushanka,Male,Physics,92.24,72.41,23,0
5534,Naveen Peiris,Male,Computer Science,92.23,72.02,21,0
2041,Jessica Jones,Female,Physics,92.23,66.08,19,0
3606,Hiruni Wijesinghe,Female,Physics,92.22,70.43,22,0
3765,Sahan Silva,Male,Mathematics,92.21,73.26,19,0
4170,Dinithi Ekanayake,Female,Biology,92.21,66.83,20,0
8503,Nethmi Senanayake,Female,Biology,92.2,75.54,19,0
7687,Lahiru Madushanka,Male,Mathematics,92.2,74.57,19,0
5900,Amal Ranatunga,Male,,92.2,68.78,19,0
5450,Naveen Ekanayake,Male,Biology,92.2,61.0,22,0
6140,Nimal Jayasinghe,Male,Computer Science,92.19,71.54,19,0
10343,Kasun Senanayake,Male,Physics,92.18,72.71,18,0
