student_id,full_name,gender,major,overall_average_score,overall_attendance_percentage,course_count,failed_courses
1917,Matthew Gaines,Male,Mathematics,94.93,67.09,22,0
10569,Chamara Abeysekera,Male,Computer Science,94.7,71.72,19,0
7692,Piumi Silva,Female,Biology,94.56,77.82,21,0
5156,Supun Ranatunga,Male,Mathematics,94.53,72.47,16,0
5346,Tharindu Senanayake,Male,Physics,94.4,73.18,21,0
3127,Lahiru Jayasinghe,Male,Physics,94.37,72.37,20,0
6476,Tharindu Wijesinghe,Male,Biology,94.36,75.98,23,0
10284,Kavindi Jayasinghe,Female,Computer Science,94.23,74.66,20,0
5188,Hiruni Senanayake,Female,Biology,94.18,72.7,18,0
5719,Ayesh Madushanka,Male,Mathematics,93.99,74.88,17,0
